query,seed ortholog,evalue,score,predicted name,GO terms,KEGG KO,BiGG reactions,tax scope,eggNOGs,best Ogs,COG Cat.,eggNOG HMM Desc.
WP_004043357.1,547559.Nmag_2249,2.10E-14,84,,,,,arNOG[11],"0KYYX@eurNOG,0RJIV@halNOG,COG2146@NOG,arCOG02852@arNOG",NA|NA|NA,P,Rieske [2Fe-2S] domain
WP_004042764.1,309800.HVO_2643,5.30E-201,705.3,QOR1,,K00344,,arNOG[11],"0KRYM@eurNOG,0RFK7@halNOG,COG0604@NOG,arCOG01458@arNOG",NA|NA|NA,C,Alcohol dehydrogenase zinc-binding domain protein
WP_004042318.1,309800.HVO_2428,1.50E-203,713.8,,,"K00001,K13953",,arNOG[11],"0KWUV@eurNOG,0RFIZ@halNOG,COG1064@NOG,arCOG01455@arNOG",NA|NA|NA,C,alcohol dehydrogenase
WP_004041602.1,309800.HVO_1712,3.20E-92,342.8,,,,,arNOG[11],"0M0X2@eurNOG,0RHHT@halNOG,COG4276@NOG,arCOG04604@arNOG",NA|NA|NA,S,Cyclase dehydrase
WP_004041374.1,485914.Hmuk_2473,6.30E-83,312.4,PETA,,K15878,,arNOG[11],"0KZJK@eurNOG,0RGYP@halNOG,COG0723@NOG,arCOG01720@arNOG",NA|NA|NA,P,Rieske 2Fe-2S domain protein
WP_004041296.1,362976.HQ3187A,2.20E-208,729.9,FDH,,"K00001,K00148",ALDD1,arNOG[11],"0KS3T@eurNOG,0RFY8@halNOG,COG1063@NOG,arCOG01459@arNOG",NA|NA|NA,C,Dehydrogenase
WP_004041144.1,797209.ZOD2009_21292,2.50E-183,646.7,,,K05708,,arNOG[11],"0KXIR@eurNOG,0RFS9@halNOG,COG4638@NOG,arCOG07775@arNOG",NA|NA|NA,P,Inherit from eurNOG: Rieske [2Fe-2S] domain
WP_004041129.1,543526.Htur_0827,3.00E-143,513.5,,,"K00008,K00060,K18337",,arNOG[11],"0KS3T@eurNOG,0RGQY@halNOG,COG1063@NOG,arCOG01459@arNOG",NA|NA|NA,E,Alcohol dehydrogenase GroES domain protein
WP_004041045.1,797209.ZOD2009_00085,1.10E-108,398.7,,,"K00008,K00060,K18337",,arNOG[11],"0KS3T@eurNOG,0RGQY@halNOG,COG1063@NOG,arCOG01459@arNOG",NA|NA|NA,E,Alcohol dehydrogenase GroES domain protein
WP_004043149.1,1033806.HLRTI_09325,1.40E-70,271.2,MSRA,,"K07304,K12267",,arNOG[11],"0KT14@eurNOG,0RH5P@halNOG,COG0225@NOG,arCOG02816@arNOG",NA|NA|NA,O,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity)
WP_013035277.1,309800.HVO_1567,6.90E-136,488.4,,,,,arNOG[11],"0KSNY@eurNOG,0RGRV@halNOG,COG2220@NOG,arCOG00497@arNOG",NA|NA|NA,S,Inherit from arCOG: UPF0173 metal-dependent hydrolase
WP_004043788.1,309800.HVO_1150,2.00E-68,263.5,MCON_0606,,K07491,,arNOG[11],"0KUU1@eurNOG,0RGUI@halNOG,COG1943@NOG,arCOG02759@arNOG",NA|NA|NA,L,transposase IS200-family protein
WP_004043421.1,64091.VNG0044H,1.20E-127,461.8,,,K07496,,arNOG[11],"0M0NZ@eurNOG,0RF83@halNOG,COG0675@NOG,arCOG00682@arNOG",NA|NA|NA,L,"transposase, IS605 OrfB family"
WP_004043369.1,348780.NP5060A,1.20E-170,604.7,,,K07496,,arNOG[11],"0KRI6@eurNOG,0RFFF@halNOG,COG0675@NOG,arCOG00679@arNOG",NA|NA|NA,L,Transposase
WP_004043314.1,416348.Hlac_1086,2.20E-220,770,,,K07496,,arNOG[11],"0KRI6@eurNOG,0RFFF@halNOG,COG0675@NOG,arCOG00679@arNOG",NA|NA|NA,L,Transposase
WP_004042327.1,309800.HVO_2434,1.80E-251,873.2,,,K07496,,arNOG[11],"0KW56@eurNOG,0RG1P@halNOG,COG0675@NOG,arCOG00683@arNOG",NA|NA|NA,L,Transposase
WP_004041959.1,309800.HVO_2075,5.50E-253,878.2,,,K07496,,arNOG[11],"0M1AW@eurNOG,0RGQV@halNOG,COG0675@NOG,arCOG00683@arNOG",NA|NA|NA,L,Transposase
WP_004041294.1,416348.Hlac_2928,1.50E-181,641,,,,,arNOG[11],"0M0NZ@eurNOG,0RF83@halNOG,COG0675@NOG,arCOG00682@arNOG",NA|NA|NA,L,"transposase, IS605 OrfB family"
WP_013035499.1,309800.HVO_0623,9.20E-75,284.6,,,,,arNOG[11],"0M119@eurNOG,0RH98@halNOG,0YIV0@NOG,arCOG00539@arNOG",NA|NA|NA,H,pterin cluster protein
WP_013035386.1,309800.HVO_2244,1.20E-138,497.7,,,,,arNOG[11],"0KZBI@eurNOG,0RF63@halNOG,COG0179@NOG,arCOG00235@arNOG",NA|NA|NA,Q,"2-hydroxyhepta-24-diene-1,7-dioate isomerase"
WP_013035257.1,309800.HVO_2270,1.60E-269,933.3,GYY_04435,,K03427,,arNOG[11],"0KRKI@eurNOG,0RHW1@halNOG,COG0286@NOG,arCOG02632@arNOG",NA|NA|NA,V,type I restriction-modification system
WP_004044110.1,309800.HVO_0826,1.00E-196,691,GYY_06405,,K01179,,arNOG[11],"0KRWP@eurNOG,0RFPK@halNOG,COG1363@NOG,arCOG01518@arNOG",NA|NA|NA,G,cellulase (EC 3.2.1.4)
WP_004044004.1,309800.HVO_0941,4.30E-142,509.2,,,K09792,,arNOG[11],"0M0XI@eurNOG,0RGYJ@halNOG,COG2836@NOG,arCOG04638@arNOG",NA|NA|NA,S,Inherit from COG: Membrane
WP_004043868.1,309800.HVO_1070,5.20E-57,225.3,,,,,arNOG[11],"0M0X7@eurNOG,0RHFI@halNOG,COG0640@NOG,arCOG03065@arNOG",NA|NA|NA,K,Transcriptional regulator
WP_004043618.1,309800.HVO_1319,1.40E-75,287.3,,,K04063,,arNOG[11],"02TRT@arNOG,0KZCQ@eurNOG,0RJ1N@halNOG,COG1764@NOG",NA|NA|NA,O,osmotically inducible protein OsmC
WP_004043562.1,309800.HVO_1377,2.00E-57,226.9,,,,,arNOG[11],"0KTT9@eurNOG,0RHV5@halNOG,COG0393@NOG,arCOG02287@arNOG",NA|NA|NA,S,UPF0145 protein
WP_004043531.1,309800.HVO_1407,7.90E-121,438.3,,,,,arNOG[11],"0M20I@eurNOG,0RJXE@halNOG,0Z3X3@NOG,arCOG01057@arNOG,arCOG07569@arNOG",NA|NA|NA,K,Inherit from arCOG: Transcriptional regulator
WP_004043353.1,562970.Btus_2323,4.80E-54,216.9,,,,,bactNOG[38],"04YWY@bacNOG,08NA9@bactNOG,0NI03@firmNOG,COG0179@NOG",NA|NA|NA,Q,Fumarylacetoacetate (FAA) hydrolase family
WP_004043134.1,797209.ZOD2009_21022,1.10E-71,275.8,,,,,arNOG[11],"0KVJB@eurNOG,0RGYF@halNOG,COG0438@NOG,arCOG01403@arNOG",NA|NA|NA,M,glycosyl transferase group 1
WP_004043113.1,64091.VNG0072H,1.20E-34,151.4,,,K07065,,arNOG[11],"COG2402@NOG,arCOG04502@arNOG",NA|NA|NA,V,Toxic component of a toxin-antitoxin (TA) module. A
WP_004042691.1,309800.HVO_2604,6.20E-82,308.5,,,,,arNOG[11],"02TJM@arNOG,0M251@eurNOG,0RJY1@halNOG,11VF3@NOG",NA|NA|NA,K,Acetyltransferase (GNAT) family
WP_004042234.1,309800.HVO_2344,6.70E-176,621.7,,,,,arNOG[11],"0KZFF@eurNOG,0RG64@halNOG,0YQEF@NOG,arCOG03860@arNOG",NA|NA|NA,K,"Transcriptional regulator, arsr family"
WP_004042012.1,309800.HVO_2128,2.50E-229,799.7,,,K06016,,arNOG[11],"0KWAW@eurNOG,0RFHV@halNOG,COG0624@NOG,arCOG01109@arNOG",NA|NA|NA,E,"Amidase, hydantoinase carbamoylase family"
WP_004041814.1,309800.HVO_1935,5.40E-87,325.5,,,K07095,,arNOG[11],"0KT3M@eurNOG,0RH9M@halNOG,COG0622@NOG,arCOG01141@arNOG",NA|NA|NA,S,mj0936 family
WP_004041737.1,309800.HVO_1855,2.20E-150,537,,,,,arNOG[11],"0KYXI@eurNOG,0RGPR@halNOG,COG0697@NOG,arCOG00272@arNOG",NA|NA|NA,G,EamA-like transporter family
WP_004041648.1,309800.HVO_1766,2.90E-48,196.4,,,,,arNOG[11],"0KUI6@eurNOG,0RJDZ@halNOG,COG0640@NOG,arCOG00731@arNOG",NA|NA|NA,K,HTH_ARSR
WP_004044547.1,309800.HVO_0377,1.60E-117,427.2,,,K06915,,arNOG[11],"COG0433@NOG,arCOG00280@arNOG",NA|NA|NA,L,Domain of unknown function DUF87
WP_004043565.1,309800.HVO_1374,0,1146.7,ALKK2,,"K00666,K01897",,arNOG[11],"0KRW5@eurNOG,0RG0Q@halNOG,COG0318@NOG,arCOG00856@arNOG",NA|NA|NA,I,ligase (EC
WP_004042475.1,309800.HVO_2505,3.80E-73,279.3,,,K20110,,arNOG[11],"0KVF8@eurNOG,0RI6D@halNOG,COG1310@NOG,arCOG01138@arNOG",NA|NA|NA,S,Mov34 MPN PAD-1 family protein
WP_004042088.1,309800.HVO_2196,1.10E-50,204.1,,,,,arNOG[11],"COG0784@NOG,arCOG02333@arNOG",NA|NA|NA,T,Signal transduction histidine kinase
WP_004041934.1,309800.HVO_2048,1.80E-199,700.3,,,,,arNOG[11],"0KY7U@eurNOG,0RJSC@halNOG,COG0438@NOG,arCOG01403@arNOG",NA|NA|NA,M,Glycosyl transferases group 1
WP_049914822.1,309800.HVO_2351,2.50E-94,350.1,FXSA,,K07113,,arNOG[11],"0KXDR@eurNOG,0RHKH@halNOG,COG3030@NOG,arCOG03059@arNOG",NA|NA|NA,S,FxsA cytoplasmic membrane protein
WP_049914811.1,309800.HVO_2152,4.20E-60,235.7,,,,,arNOG[11],"COG0640@NOG,arCOG03067@arNOG",NA|NA|NA,K,regulator
WP_013035605.1,309800.HVO_1168,8.60E-207,724.5,GTH2,,,,arNOG[11],"0KSHX@eurNOG,0RG1Q@halNOG,COG0438@NOG,arCOG01407@arNOG",NA|NA|NA,M,glycosyl transferase group 1
WP_004045093.1,309800.HVO_0064,1.60E-71,273.9,,,K06934,,arNOG[11],"0KUV1@eurNOG,0RHEP@halNOG,COG1661@NOG,arCOG04212@arNOG",NA|NA|NA,S,polA operon protein ( DNA-binding protein)
WP_004044967.1,309800.HVO_0010,2.50E-124,449.9,RAD24,,,,arNOG[11],"0KTH8@eurNOG,0RFDR@halNOG,COG0639@NOG,arCOG01143@arNOG",NA|NA|NA,T,"Phosphodiesterase, MJ0936 family"
WP_004044826.1,309800.HVO_2962,1.80E-31,139.8,,,K07729,,arNOG[11],"0KUK3@eurNOG,0RI9H@halNOG,COG1476@NOG,arCOG01864@arNOG",NA|NA|NA,K,"Transcriptional regulator, XRE family"
WP_004044443.1,309800.HVO_0479,1.80E-90,337,GYY_02035,,K07095,,arNOG[11],"0KTC7@eurNOG,0RH74@halNOG,COG0622@NOG,arCOG01141@arNOG",NA|NA|NA,S,mj0936 family
WP_004044376.1,309800.HVO_0555,5.00E-286,988.4,TLPC,,K03406,,arNOG[11],"0KS50@eurNOG,0RFMM@halNOG,COG0840@NOG,COG2202@NOG,arCOG02318@arNOG,arCOG02329@arNOG",NA|NA|NA,N,transducer
WP_004044357.1,309800.HVO_0576,1.80E-60,236.9,,,,,arNOG[11],"0KTBM@eurNOG,0RHFQ@halNOG,COG1733@NOG,arCOG01057@arNOG",NA|NA|NA,K,"Transcriptional regulator, HxlR family"
WP_004044337.1,309800.HVO_0597,1.80E-79,300.4,,,K00627,,arNOG[11],"0KUYB@eurNOG,0RIJ5@halNOG,COG1765@NOG,arCOG03686@arNOG",NA|NA|NA,O,OsmC-like protein
WP_004044112.1,309800.HVO_0824,1.30E-199,700.7,RFBU,,,,arNOG[11],"0M16N@eurNOG,0RG68@halNOG,COG0438@NOG,arCOG01403@arNOG",NA|NA|NA,M,glycosyl transferase group 1
WP_004043650.1,309800.HVO_1289,1.00E-67,261.2,,,,,arNOG[11],"0M1A7@eurNOG,0RHHQ@halNOG,0YIUK@NOG,arCOG03687@arNOG",NA|NA|NA,O,OsmC family
WP_004043648.1,309800.HVO_1291,6.90E-139,498.4,HPCE,,,,arNOG[11],"0KRXD@eurNOG,0RG3K@halNOG,COG0179@NOG,arCOG00235@arNOG",NA|NA|NA,Q,"2-hydroxyhepta-24-diene-1,7-dioate isomerase"
WP_004043228.1,519442.Huta_0759,5.30E-17,91.7,,,K07729,,arNOG[11],"0KUK3@eurNOG,0RI9H@halNOG,COG1476@NOG,arCOG01864@arNOG",NA|NA|NA,K,"Transcriptional regulator, XRE family"
WP_004043034.1,309800.HVO_2790,2.80E-194,682.9,MRP1,,K03593,,arNOG[11],"0KS2S@eurNOG,0RFYT@halNOG,COG0489@NOG,arCOG00585@arNOG",NA|NA|NA,D,ATP-binding protein Mrp
WP_004042903.1,309800.HVO_2709,4.90E-85,318.9,,,,,arNOG[11],"0M0SB@eurNOG,0RH0I@halNOG,COG0456@NOG,arCOG00848@arNOG",NA|NA|NA,K,GCN5-related N-acetyltransferase
WP_004042314.1,309800.HVO_2425,7.30E-124,448.4,,,"K03790,K03817",,arNOG[11],"0KZUF@eurNOG,0RH2H@halNOG,COG1670@NOG,arCOG00842@arNOG",NA|NA|NA,J,GCN5-related N-acetyltransferase
WP_004042312.1,309800.HVO_2423,1.20E-100,370.9,,,,,arNOG[11],"0KZ1Z@eurNOG,0RH1H@halNOG,COG0454@NOG,arCOG00834@arNOG",NA|NA|NA,K,Acetyltransferase (GNAT) family
WP_004041338.1,348780.NP0188A,5.90E-29,133.7,,,,,arNOG[11],"0KYTB@eurNOG,0RJW6@halNOG,11VB2@NOG,arCOG02367@arNOG,arCOG02388@arNOG",NA|NA|NA,T,Signal-transducing histidine
WP_004041111.1,797209.ZOD2009_17318,4.30E-60,236.5,,,,,arNOG[11],"0M1CQ@eurNOG,0RJ24@halNOG,COG1670@NOG,arCOG00842@arNOG",NA|NA|NA,J,"Siderophore biosynthesis protein, conserved region"
WP_004040946.1,348780.NP2812A,6.30E-40,168.7,,,,,arNOG[11],"0KTBM@eurNOG,0RHFQ@halNOG,COG1733@NOG,arCOG01057@arNOG",NA|NA|NA,K,"Transcriptional regulator, HxlR family"
WP_013035669.1,1033806.HLRTI_13870,1.70E-12,76.6,,,K07043,,arNOG[11],"0KU3B@eurNOG,0RIPV@halNOG,COG1451@NOG,arCOG02625@arNOG",NA|NA|NA,S,Protein of unknown function DUF45
WP_013035407.1,309800.HVO_0246,2.80E-156,556.6,,,,,arNOG[11],"0KTNG@eurNOG,0RHCD@halNOG,COG0640@NOG,arCOG01686@arNOG",NA|NA|NA,K,arsR family
WP_013035093.1,797209.ZOD2009_11545,2.00E-23,114.4,,,,,arNOG[11],"0M0C3@eurNOG,0RHR9@halNOG,0Z77K@NOG,arCOG03828@arNOG",NA|NA|NA,T,Inherit from NOG: Histidine kinase
WP_004045314.1,309800.HVO_0200,3.10E-66,256.1,,,,,arNOG[11],"0Z77K@NOG,arCOG03828@arNOG",NA|NA|NA,T,Inherit from NOG: Histidine kinase
WP_004045280.1,309800.HVO_0166,1.90E-50,203.4,,,,,arNOG[11],"COG0640@NOG,arCOG03067@arNOG",NA|NA|NA,K,regulator
WP_004045110.1,309800.HVO_0069,3.80E-304,1048.5,,,"K01130,K01133",,arNOG[11],"0KXC3@eurNOG,0RG5D@halNOG,COG3119@NOG,arCOG02787@arNOG",NA|NA|NA,P,sulfatase
WP_004044657.1,309800.HVO_2839,2.60E-59,233,,,,,arNOG[11],"0M1DC@eurNOG,0RIHH@halNOG,COG0640@NOG,arCOG03065@arNOG",NA|NA|NA,K,Inherit from arCOG: Transcriptional regulator
WP_004044650.1,309800.HVO_2833,2.30E-179,633.3,,,,,arNOG[11],"0KZZA@eurNOG,0RGD0@halNOG,129ZK@NOG,arCOG04518@arNOG",NA|NA|NA,,
WP_004044433.1,309800.HVO_0488,2.30E-64,250,,,,,arNOG[11],"COG0640@NOG,arCOG03067@arNOG",NA|NA|NA,K,regulator
WP_004044428.1,309800.HVO_0493,8.70E-64,248.1,,,,,arNOG[11],"02TMU@arNOG,0KZNJ@eurNOG,0RIBP@halNOG,0Z3NI@NOG",NA|NA|NA,K,IclR helix-turn-helix domain
WP_004044309.1,309800.HVO_0625,1.90E-64,250.4,,,K08978,,arNOG[11],"0KYWP@eurNOG,0RHF7@halNOG,COG2510@NOG,arCOG03427@arNOG",NA|NA|NA,G,EamA-like transporter family
WP_004044269.1,309800.HVO_0666,1.40E-258,897.1,,,K00627,,arNOG[11],"0KS1K@eurNOG,0RH00@halNOG,COG0508@NOG,arCOG01706@arNOG",NA|NA|NA,C,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
WP_004044035.1,309800.HVO_0905,5.50E-122,442.2,,,,,arNOG[11],"0M0BU@eurNOG,0RHYE@halNOG,COG0526@NOG,arCOG01972@arNOG",NA|NA|NA,O,Thioredoxin
WP_004043842.1,309800.HVO_1096,1.10E-201,707.6,,,"K01438,K01439,K05831",,arNOG[11],"0KTY4@eurNOG,0RGGP@halNOG,COG0624@NOG,arCOG01107@arNOG",NA|NA|NA,E,Succinyl-diaminopimelate desuccinylase
WP_004043821.1,309800.HVO_1116,9.10E-57,224.6,,,,,arNOG[11],"0KZ66@eurNOG,0RHBR@halNOG,COG0640@NOG,arCOG03067@arNOG",NA|NA|NA,K,Inherit from arCOG: regulator
WP_004043733.1,309800.HVO_1209,3.10E-57,226.1,,,,,arNOG[11],"0KVDU@eurNOG,0RHC9@halNOG,COG0640@NOG,arCOG03067@arNOG",NA|NA|NA,K,Inherit from arCOG: regulator
WP_004043658.1,309800.HVO_1281,1.60E-200,703.7,,,K13677,,arNOG[11],"0KVJB@eurNOG,0RGYF@halNOG,COG0438@NOG,arCOG01403@arNOG",NA|NA|NA,M,glycosyl transferase group 1
WP_004043607.1,309800.HVO_1331,2.40E-69,266.5,,,"K03892,K07013",,arNOG[11],"0M0C5@eurNOG,0RHNI@halNOG,COG0640@NOG,arCOG01680@arNOG",NA|NA|NA,K,Transcriptional regulator
WP_004043598.1,309800.HVO_1340,2.90E-213,746.1,,,,,arNOG[11],"0KS1S@eurNOG,0RGNH@halNOG,COG0438@NOG,arCOG01403@arNOG",NA|NA|NA,M,glycosyl transferase group 1
WP_004043588.1,309800.HVO_1350,7.00E-66,255,,,,,arNOG[11],"COG0640@NOG,arCOG01686@arNOG",NA|NA|NA,K,"transcriptional regulator, ArsR family"
WP_004043402.1,797209.ZOD2009_11310,3.60E-23,113.2,,,,,arNOG[11],"0M0WA@eurNOG,0RI3P@halNOG,COG0640@NOG,arCOG03065@arNOG",NA|NA|NA,K,Transcription regulator
WP_004043146.1,519442.Huta_0468,2.10E-25,120.2,,,,,NOG[107],COG4742@NOG,NA|NA|NA,K,Transcriptional regulator
WP_004043030.1,309800.HVO_2786,2.70E-56,223,,,,,arNOG[11],"0M19H@eurNOG,0RI4V@halNOG,COG0526@NOG,arCOG01972@arNOG",NA|NA|NA,O,Thioredoxin
WP_004042125.1,309800.HVO_2236,9.30E-50,201.1,,,,,arNOG[11],"0KUI6@eurNOG,COG0640@NOG,arCOG00731@arNOG",NA|NA|NA,K,"regulatory protein, arsR"
WP_004041938.1,309800.HVO_2053,3.80E-213,745.7,,,,,arNOG[11],"0KT95@eurNOG,0RIRW@halNOG,0XQUB@NOG,arCOG01415@arNOG",NA|NA|NA,M,Glycosyl transferases group 1
WP_004041883.1,309800.HVO_2002,6.80E-47,191.4,,,,,arNOG[11],"0KX9F@eurNOG,0RHQ4@halNOG,COG0640@NOG,arCOG00731@arNOG",NA|NA|NA,K,"transcriptional regulator, ArsR family"
WP_004041589.1,309800.HVO_1700,7.10E-145,518.5,,,,,arNOG[11],"0M154@eurNOG,0RI6J@halNOG,111UD@NOG,arCOG02809@arNOG",NA|NA|NA,K,Transcriptional regulator
WP_004041557.1,309800.HVO_1667,1.50E-78,297.4,,,,,arNOG[11],"0KTX1@eurNOG,0RHIX@halNOG,0YSXN@NOG,arCOG02241@arNOG",NA|NA|NA,K,transcriptional regulator trmb
WP_004041546.1,309800.HVO_1655,2.10E-67,260,,,,,arNOG[11],"0KZ1S@eurNOG,0RHAA@halNOG,COG0526@NOG,arCOG04633@arNOG",NA|NA|NA,O,Inherit from arCOG: Thioredoxin
WP_004041512.1,309800.HVO_1622,4.70E-104,382.5,,,,,arNOG[11],"0KTNG@eurNOG,0RHVG@halNOG,COG0640@NOG,arCOG01686@arNOG",NA|NA|NA,K,HTH_ARSR
WP_004041430.1,309800.HVO_1552,2.70E-99,366.7,,,,,arNOG[11],"0KTNG@eurNOG,0RHCD@halNOG,COG0640@NOG,arCOG01686@arNOG",NA|NA|NA,K,arsR family
WP_004041341.1,797209.ZOD2009_15696,8.00E-51,204.9,,,,,arNOG[11],"0M0X7@eurNOG,0RHFI@halNOG,COG0640@NOG,arCOG03065@arNOG",NA|NA|NA,K,Transcriptional regulator
WP_004041151.1,756883.Halar_2311,2.40E-138,497.3,ARGE,,"K01438,K01439,K05831",,arNOG[11],"COG0624@NOG,arCOG01107@arNOG",NA|NA|NA,E,acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
WP_004040987.1,416348.Hlac_2425,1.80E-124,451.4,DAPE,,"K01438,K01439,K05831",,arNOG[11],"0KTY7@eurNOG,0RJKY@halNOG,COG0624@NOG,arCOG01107@arNOG",NA|NA|NA,E,Inherit from eurNOG: acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase
